action,oven,chickens,start_time,expected_end_time,timestamp,new_time_left,new_expected_end_time,actual_end_time,chickens_taken,chickens_left,time,cooking_duration,imputed_start_time,is_imputed
post_rush,3,,,,2024-10-06 17:54:24.742000+00:00,,,,28.0,0.0,2024-10-06T17:54:24.643Z,,2024-10-06 17:54:24.742000+00:00,False
start_cooking,3,28.0,2024-10-06T17:54:26.345Z,2024-10-06T19:24:26.345Z,2024-10-06 17:54:26.338000+00:00,,,,,,,52.625233333333334,2024-10-06 17:54:26.338000+00:00,False
finish_cooking,3,28.0,2024-10-18T13:54:26.000Z,2024-10-18T15:24:26.000Z,2024-10-06 19:46:44.928000+00:00,,,2024-10-06T19:46:44.864Z,,,,,2024-10-06 18:54:47.573868+00:00,True
post_rush,3,,,,2024-10-06 19:46:58.110000+00:00,,,,28.0,0.0,2024-10-06T19:46:58.034Z,,2024-10-06 19:46:58.110000+00:00,False
start_cooking,3,28.0,2024-10-06T19:47:00.381Z,2024-10-06T21:17:00.381Z,2024-10-06 19:47:00.445000+00:00,,,,,,,38.73651666666667,2024-10-06 19:47:00.445000+00:00,False
finish_cooking,3,28.0,2024-10-18T15:47:00.000Z,2024-10-18T17:17:00.000Z,2024-10-06 21:23:50.547000+00:00,,,2024-10-06T21:23:50.485Z,,,,,2024-10-06 20:31:53.192868+00:00,True
post_rush,3,,,,2024-10-06 21:43:01.673000+00:00,,,,13.0,15.0,2024-10-06T21:43:01.609Z,,2024-10-06 21:43:01.673000+00:00,False
start_cooking,3,28.0,2024-10-07T17:06:13.367Z,2024-10-07T18:36:13.367Z,2024-10-07 17:06:13.423000+00:00,,,,,,,26.020083333333332,2024-10-07 17:06:13.423000+00:00,False
adjust_cooking_time,3,,,,2024-10-07 17:06:15.939000+00:00,20.0,2024-10-07T17:26:15.889Z,,,,,,2024-10-07 17:06:15.939000+00:00,False
finish_cooking,3,28.0,,2024-10-18T13:26:15.000Z,2024-10-07 17:32:14.628000+00:00,,,2024-10-07T17:32:14.525Z,,,,,2024-10-07 16:40:17.273868+00:00,True
post_rush,3,,,,2024-10-07 17:32:22.069000+00:00,,,,8.0,20.0,2024-10-07T17:32:21.997Z,,2024-10-07 17:32:22.069000+00:00,False
start_cooking,3,28.0,2024-10-07T17:52:21.775Z,2024-10-07T19:22:21.775Z,2024-10-07 17:52:21.855000+00:00,,,,,,,72.15406666666667,2024-10-07 17:52:21.855000+00:00,False
finish_cooking,3,28.0,2024-10-18T13:52:21.000Z,2024-10-18T15:22:21.000Z,2024-10-07 19:38:52.645000+00:00,,,2024-10-07T19:38:52.588Z,,,,,2024-10-07 18:46:55.290868+00:00,True
post_rush,3,,,,2024-10-07 19:38:55.401000+00:00,,,,8.0,20.0,2024-10-07T19:38:55.346Z,,2024-10-07 19:38:55.401000+00:00,False
start_cooking,3,28.0,2024-10-07T19:38:59.963Z,2024-10-07T21:08:59.963Z,2024-10-07 19:39:00.027000+00:00,,,,,,,80.43608333333333,2024-10-07 19:39:00.027000+00:00,False
finish_cooking,3,28.0,2024-10-18T15:38:59.000Z,2024-10-18T17:08:59.000Z,2024-10-07 21:18:11.409000+00:00,,,2024-10-07T21:18:11.325Z,,,,,2024-10-07 20:26:14.054868+00:00,True
post_rush,3,,,,2024-10-07 21:42:30.673000+00:00,,,,8.0,20.0,2024-10-07T21:42:30.606Z,,2024-10-07 21:42:30.673000+00:00,False
start_cooking,3,28.0,2024-10-08T16:46:08.000Z,2024-10-08T18:16:08.000Z,2024-10-08 16:46:08.047000+00:00,,,,,,,15.4741,2024-10-08 16:46:08.047000+00:00,False
adjust_cooking_time,3,,,,2024-10-08 16:46:10.969000+00:00,5.0,2024-10-08T16:51:10.923Z,,,,,,2024-10-08 16:46:10.969000+00:00,False
finish_cooking,3,28.0,,2024-10-18T12:51:10.000Z,2024-10-08 17:01:37.656000+00:00,,,2024-10-08T17:01:37.591Z,,,,,2024-10-08 16:09:40.301868+00:00,True
post_rush,3,,,,2024-10-08 17:29:52.922000+00:00,,,,11.0,17.0,2024-10-08T17:29:52.754Z,,2024-10-08 17:29:52.922000+00:00,False
